venue,result,Home Goals,Away Goals,Away Team,Home Team
Away,D,2,2,Norwich City,Tottenham
Away,L,0,1,Southampton,Tottenham
Home,L,0,1,Liverpool,Tottenham
Away,D,0,0,Watford,Tottenham
Home,W,2,1,Norwich City,Tottenham
Home,W,2,0,Manchester City,Tottenham
Away,W,3,2,Aston Villa,Tottenham
Away,L,1,2,Chelsea,Tottenham
Home,L,2,3,Wolves,Tottenham
Away,D,1,1,Burnley,Tottenham
Home,D,1,1,Manchester Utd,Tottenham
Home,W,2,0,West Ham,Tottenham
Away,L,1,3,Sheffield Utd,Tottenham
Home,W,1,0,Everton,Tottenham
Away,D,0,0,Bournemouth,Tottenham
Home,W,2,1,Arsenal,Tottenham
Away,W,3,1,Newcastle Utd,Tottenham
Home,W,3,0,Leicester City,Tottenham
Away,D,1,1,Crystal Palace,Tottenham
Away,D,0,0,Leicester City,Wolves
Home,D,1,1,Manchester Utd,Wolves
Home,D,1,1,Burnley,Wolves
Away,L,2,3,Everton,Wolves
Home,L,2,5,Chelsea,Wolves
Away,D,1,1,Crystal Palace,Wolves
Home,W,2,0,Watford,Wolves
Away,W,2,0,Manchester City,Wolves
Home,D,1,1,Southampton,Wolves
Away,D,1,1,Newcastle Utd,Wolves
Away,D,1,1,Arsenal,Wolves
Home,W,2,1,Aston Villa,Wolves
Away,W,2,1,Bournemouth,Wolves
Home,D,1,1,Sheffield Utd,Wolves
Home,W,2,0,West Ham,Wolves
Away,D,2,2,Brighton,Wolves
Home,L,1,2,Tottenham,Wolves
Away,W,2,1,Norwich City,Wolves
Home,W,3,2,Manchester City,Wolves
Away,L,0,1,Liverpool,Wolves
Away,L,1,2,Watford,Wolves
Home,D,1,1,Newcastle Utd,Wolves
Away,W,3,2,Southampton,Wolves
Home,L,1,2,Liverpool,Wolves
Away,D,0,0,Manchester Utd,Wolves
Home,D,0,0,Leicester City,Wolves
Home,W,3,0,Norwich City,Wolves
Away,W,3,2,Tottenham,Wolves
Home,D,0,0,Brighton,Wolves
Away,W,2,0,West Ham,Wolves
Home,W,1,0,Bournemouth,Wolves
Away,W,1,0,Aston Villa,Wolves
Home,L,0,2,Arsenal,Wolves
Away,L,0,1,Sheffield Utd,Wolves
Home,W,3,0,Everton,Wolves
Away,D,1,1,Burnley,Wolves
Home,W,2,0,Crystal Palace,Wolves
Away,L,0,2,Chelsea,Wolves
Away,W,1,0,Newcastle Utd,Arsenal
Home,W,2,1,Burnley,Arsenal
Away,L,1,3,Liverpool,Arsenal
Home,D,2,2,Tottenham,Arsenal
Away,D,2,2,Watford,Arsenal
Home,W,3,2,Aston Villa,Arsenal
Away,D,1,1,Manchester Utd,Arsenal
Home,W,1,0,Bournemouth,Arsenal
Away,L,0,1,Sheffield Utd,Arsenal
Home,D,2,2,Crystal Palace,Arsenal
Home,D,1,1,Wolves,Arsenal
Away,L,0,2,Leicester City,Arsenal
Home,D,2,2,Southampton,Arsenal
Away,D,2,2,Norwich City,Arsenal
Home,L,1,2,Brighton,Arsenal
Away,W,3,1,West Ham,Arsenal
Home,L,0,3,Manchester City,Arsenal
Away,D,0,0,Everton,Arsenal
Away,D,1,1,Bournemouth,Arsenal
Home,L,1,2,Chelsea,Arsenal
Home,W,2,0,Manchester Utd,Arsenal
Away,D,1,1,Crystal Palace,Arsenal
Home,D,1,1,Sheffield Utd,Arsenal
Away,D,2,2,Chelsea,Arsenal
Away,D,0,0,Burnley,Arsenal
Home,W,4,0,Newcastle Utd,Arsenal
Home,W,3,2,Everton,Arsenal
Home,W,1,0,West Ham,Arsenal
Away,L,0,3,Manchester City,Arsenal
Away,L,1,2,Brighton,Arsenal
Away,W,2,0,Southampton,Arsenal
Home,W,4,0,Norwich City,Arsenal
Away,W,2,0,Wolves,Arsenal
Home,D,1,1,Leicester City,Arsenal
Away,L,1,2,Tottenham,Arsenal
Home,W,2,1,Liverpool,Arsenal
Away,L,0,1,Aston Villa,Arsenal
Home,W,3,2,Watford,Arsenal
Away,D,1,1,Bournemouth,Sheffield United
Home,W,1,0,Crystal Palace,Sheffield United
Home,L,1,2,Leicester City,Sheffield United
Away,D,2,2,Chelsea,Sheffield United
Home,L,0,1,Southampton,Sheffield United
Away,W,2,0,Everton,Sheffield United
Home,L,0,1,Liverpool,Sheffield United
Away,D,0,0,Watford,Sheffield United
Home,W,1,0,Arsenal,Sheffield United
Away,D,1,1,West Ham,Sheffield United
Home,W,3,0,Burnley,Sheffield United
Away,D,1,1,Tottenham,Sheffield United
Home,D,3,3,Manchester Utd,Sheffield United
Away,D,1,1,Wolves,Sheffield United
Home,L,0,2,Newcastle Utd,Sheffield United
Away,W,2,1,Norwich City,Sheffield United
Home,W,2,0,Aston Villa,Sheffield United
Away,W,1,0,Brighton,Sheffield United
Home,D,1,1,Watford,Sheffield United
Away,L,0,2,Manchester City,Sheffield United
Away,L,0,2,Liverpool,Sheffield United
Home,W,1,0,West Ham,Sheffield United
Away,D,1,1,Arsenal,Sheffield United
Home,L,0,1,Manchester City,Sheffield United
Away,W,1,0,Crystal Palace,Sheffield United
Home,W,2,1,Bournemouth,Sheffield United
Home,D,1,1,Brighton,Sheffield United
Home,W,1,0,Norwich City,Sheffield United
Away,D,0,0,Aston Villa,Sheffield United
Away,L,0,3,Newcastle Utd,Sheffield United
Away,L,0,3,Manchester Utd,Sheffield United
Home,W,3,1,Tottenham,Sheffield United
Away,D,1,1,Burnley,Sheffield United
Home,W,1,0,Wolves,Sheffield United
Home,W,3,0,Chelsea,Sheffield United
Away,L,0,2,Leicester City,Sheffield United
Home,L,0,1,Everton,Sheffield United
Away,L,1,3,Southampton,Sheffield United
Home,W,3,0,Southampton,Burnley
Away,L,1,2,Arsenal,Burnley
Away,D,1,1,Wolves,Burnley
Home,L,0,3,Liverpool,Burnley
Away,D,1,1,Brighton,Burnley
Home,W,2,0,Norwich City,Burnley
Away,D,2,2,Aston Villa,Burnley
Home,W,1,0,Everton,Burnley
Away,L,1,2,Leicester City,Burnley
Home,L,2,4,Chelsea,Burnley
Away,L,0,3,Sheffield Utd,Burnley
Home,W,3,0,West Ham,Burnley
Away,W,3,0,Watford,Burnley
Home,L,0,2,Crystal Palace,Burnley
Home,L,1,4,Manchester City,Burnley
Away,L,0,5,Tottenham,Burnley
Home,W,1,0,Newcastle Utd,Burnley
Away,W,1,0,Bournemouth,Burnley
Away,L,0,1,Everton,Burnley
Home,L,0,2,Manchester Utd,Burnley
Home,L,1,2,Aston Villa,Burnley
Away,L,0,3,Chelsea,Burnley
Home,W,2,1,Leicester City,Burnley
Away,W,2,0,Manchester Utd,Burnley
Home,D,0,0,Arsenal,Burnley
Away,W,2,1,Southampton,Burnley
Home,W,3,0,Bournemouth,Burnley
Away,D,0,0,Newcastle Utd,Burnley
Home,D,1,1,Tottenham,Burnley
Away,L,0,5,Manchester City,Burnley
Home,W,1,0,Watford,Burnley
Away,W,1,0,Crystal Palace,Burnley
Home,D,1,1,Sheffield Utd,Burnley
Away,W,1,0,West Ham,Burnley
Away,D,1,1,Liverpool,Burnley
Home,D,1,1,Wolves,Burnley
Away,W,2,0,Norwich City,Burnley
Home,L,1,2,Brighton,Burnley
Away,L,0,3,Burnley,Southampton
Home,L,1,2,Liverpool,Southampton
Away,W,2,0,Brighton,Southampton
Home,D,1,1,Manchester Utd,Southampton
Away,W,1,0,Sheffield Utd,Southampton
Home,L,1,3,Bournemouth,Southampton
Away,L,1,2,Tottenham,Southampton
Home,L,1,4,Chelsea,Southampton
Away,D,1,1,Wolves,Southampton
Home,L,0,9,Leicester City,Southampton
Away,L,1,2,Manchester City,Southampton
Home,L,1,2,Everton,Southampton
Away,D,2,2,Arsenal,Southampton
Home,W,2,1,Watford,Southampton
Home,W,2,1,Norwich City,Southampton
Away,L,1,2,Newcastle Utd,Southampton
Home,L,0,1,West Ham,Southampton
Away,W,3,1,Aston Villa,Southampton
Away,W,2,0,Chelsea,Southampton
Home,D,1,1,Crystal Palace,Southampton
Home,W,1,0,Tottenham,Southampton
Away,W,2,1,Leicester City,Southampton
Home,L,2,3,Wolves,Southampton
Away,W,2,0,Crystal Palace,Southampton
Away,L,0,4,Liverpool,Southampton
Home,L,1,2,Burnley,Southampton
Home,W,2,0,Aston Villa,Southampton
Away,L,1,3,West Ham,Southampton
Home,L,0,1,Newcastle Utd,Southampton
Away,W,3,0,Norwich City,Southampton
Home,L,0,2,Arsenal,Southampton
Away,W,3,1,Watford,Southampton
Home,W,1,0,Manchester City,Southampton
Away,D,1,1,Everton,Southampton
Away,D,2,2,Manchester Utd,Southampton
Home,D,1,1,Brighton,Southampton
Away,W,2,0,Bournemouth,Southampton
Home,W,3,1,Sheffield Utd,Southampton
Away,D,0,0,Crystal Palace,Everton
Home,W,1,0,Watford,Everton
Away,L,0,2,Aston Villa,Everton
Home,W,3,2,Wolves,Everton
Away,L,1,3,Bournemouth,Everton
Home,L,0,2,Sheffield Utd,Everton
Home,L,1,3,Manchester City,Everton
Away,L,0,1,Burnley,Everton
Home,W,2,0,West Ham,Everton
Away,L,2,3,Brighton,Everton
Home,D,1,1,Tottenham,Everton
Away,W,2,1,Southampton,Everton
Home,L,0,2,Norwich City,Everton
Away,L,1,2,Leicester City,Everton
Away,L,2,5,Liverpool,Everton
Home,W,3,1,Chelsea,Everton
Away,D,1,1,Manchester Utd,Everton
Home,D,0,0,Arsenal,Everton
Home,W,1,0,Burnley,Everton
Away,W,2,1,Newcastle Utd,Everton
Away,L,1,2,Manchester City,Everton
Home,W,1,0,Brighton,Everton
Away,D,1,1,West Ham,Everton
Home,D,2,2,Newcastle Utd,Everton
Away,W,3,2,Watford,Everton
Home,W,3,1,Crystal Palace,Everton
Away,L,2,3,Arsenal,Everton
Home,D,1,1,Manchester Utd,Everton
Away,L,0,4,Chelsea,Everton
Home,D,0,0,Liverpool,Everton
Away,W,1,0,Norwich City,Everton
Home,W,2,1,Leicester City,Everton
Away,L,0,1,Tottenham,Everton
Home,D,1,1,Southampton,Everton
Away,L,0,3,Wolves,Everton
Home,D,1,1,Aston Villa,Everton
Away,W,1,0,Sheffield Utd,Everton
Home,L,1,3,Bournemouth,Everton
Home,L,0,1,Arsenal,Newcastle Utd
Away,L,1,3,Norwich City,Newcastle Utd
Away,W,1,0,Tottenham,Newcastle Utd
Home,D,1,1,Watford,Newcastle Utd
Away,L,1,3,Liverpool,Newcastle Utd
Home,D,0,0,Brighton,Newcastle Utd
Away,L,0,5,Leicester City,Newcastle Utd
Home,W,1,0,Manchester Utd,Newcastle Utd
Away,L,0,1,Chelsea,Newcastle Utd
Home,D,1,1,Wolves,Newcastle Utd
Away,W,3,2,West Ham,Newcastle Utd
Home,W,2,1,Bournemouth,Newcastle Utd
Away,L,0,2,Aston Villa,Newcastle Utd
Home,D,2,2,Manchester City,Newcastle Utd
Away,W,2,0,Sheffield Utd,Newcastle Utd
Home,W,2,1,Southampton,Newcastle Utd
Away,L,0,1,Burnley,Newcastle Utd
Home,W,1,0,Crystal Palace,Newcastle Utd
Away,L,1,4,Manchester Utd,Newcastle Utd
Home,L,1,2,Everton,Newcastle Utd
Home,L,0,3,Leicester City,Newcastle Utd
Away,D,1,1,Wolves,Newcastle Utd
Home,W,1,0,Chelsea,Newcastle Utd
Away,D,2,2,Everton,Newcastle Utd
Home,D,0,0,Norwich City,Newcastle Utd
Away,L,0,4,Arsenal,Newcastle Utd
Away,L,0,1,Crystal Palace,Newcastle Utd
Home,D,0,0,Burnley,Newcastle Utd
Away,W,1,0,Southampton,Newcastle Utd
Home,W,3,0,Sheffield Utd,Newcastle Utd
Home,D,1,1,Aston Villa,Newcastle Utd
Away,W,4,1,Bournemouth,Newcastle Utd
Home,D,2,2,West Ham,Newcastle Utd
Away,L,0,5,Manchester City,Newcastle Utd
Away,L,1,2,Watford,Newcastle Utd
Home,L,1,3,Tottenham,Newcastle Utd
Away,D,0,0,Brighton,Newcastle Utd
Home,L,1,3,Liverpool,Newcastle Utd
Home,D,0,0,Everton,Crystal Palace
Away,L,0,1,Sheffield Utd,Crystal Palace
Away,W,2,1,Manchester Utd,Crystal Palace
Home,W,1,0,Aston Villa,Crystal Palace
Away,L,0,4,Tottenham,Crystal Palace
Home,D,1,1,Wolves,Crystal Palace
Home,W,2,0,Norwich City,Crystal Palace
Away,W,2,1,West Ham,Crystal Palace
Home,L,0,2,Manchester City,Crystal Palace
Away,D,2,2,Arsenal,Crystal Palace
Home,L,0,2,Leicester City,Crystal Palace
Away,L,0,2,Chelsea,Crystal Palace
Home,L,1,2,Liverpool,Crystal Palace
Away,W,2,0,Burnley,Crystal Palace
Home,W,1,0,Bournemouth,Crystal Palace
Away,D,0,0,Watford,Crystal Palace
Home,D,1,1,Brighton,Crystal Palace
Away,L,0,1,Newcastle Utd,Crystal Palace
Home,W,2,1,West Ham,Crystal Palace
Away,D,1,1,Southampton,Crystal Palace
Away,D,1,1,Norwich City,Crystal Palace
Home,D,1,1,Arsenal,Crystal Palace
Away,D,2,2,Manchester City,Crystal Palace
Home,L,0,2,Southampton,Crystal Palace
Home,L,0,1,Sheffield Utd,Crystal Palace
Away,L,1,3,Everton,Crystal Palace
Home,W,1,0,Newcastle Utd,Crystal Palace
Away,W,1,0,Brighton,Crystal Palace
Home,W,1,0,Watford,Crystal Palace
Away,W,2,0,Bournemouth,Crystal Palace
Away,L,0,4,Liverpool,Crystal Palace
Home,L,0,1,Burnley,Crystal Palace
Away,L,0,3,Leicester City,Crystal Palace
Home,L,2,3,Chelsea,Crystal Palace
Away,L,0,2,Aston Villa,Crystal Palace
Home,L,0,2,Manchester Utd,Crystal Palace
Away,L,0,2,Wolves,Crystal Palace
Home,D,1,1,Tottenham,Crystal Palace
Away,W,3,0,Watford,Brighton
Home,D,1,1,West Ham,Brighton
Home,L,0,2,Southampton,Brighton
Away,L,0,4,Manchester City,Brighton
Home,D,1,1,Burnley,Brighton
Away,D,0,0,Newcastle Utd,Brighton
Away,L,0,2,Chelsea,Brighton
Home,W,3,0,Tottenham,Brighton
Away,L,1,2,Aston Villa,Brighton
Home,W,3,2,Everton,Brighton
Home,W,2,0,Norwich City,Brighton
Away,L,1,3,Manchester Utd,Brighton
Home,L,0,2,Leicester City,Brighton
Away,L,1,2,Liverpool,Brighton
Away,W,2,1,Arsenal,Brighton
Home,D,2,2,Wolves,Brighton
Away,D,1,1,Crystal Palace,Brighton
Home,L,0,1,Sheffield Utd,Brighton
Away,L,1,2,Tottenham,Brighton
Home,W,2,0,Bournemouth,Brighton
Home,D,1,1,Chelsea,Brighton
Away,L,0,1,Everton,Brighton
Home,D,1,1,Aston Villa,Brighton
Away,L,1,3,Bournemouth,Brighton
Away,D,3,3,West Ham,Brighton
Home,D,1,1,Watford,Brighton
Away,D,1,1,Sheffield Utd,Brighton
Home,L,0,1,Crystal Palace,Brighton
Away,D,0,0,Wolves,Brighton
Home,W,2,1,Arsenal,Brighton
Away,D,0,0,Leicester City,Brighton
Home,L,0,3,Manchester Utd,Brighton
Away,W,1,0,Norwich City,Brighton
Home,L,1,3,Liverpool,Brighton
Home,L,0,5,Manchester City,Brighton
Away,D,1,1,Southampton,Brighton
Home,D,0,0,Newcastle Utd,Brighton
Away,W,2,1,Burnley,Brighton
Home,L,0,5,Manchester City,West Ham Utd
Away,D,1,1,Brighton,West Ham Utd
Away,W,3,1,Watford,West Ham Utd
Home,W,2,0,Norwich City,West Ham Utd
Away,D,0,0,Aston Villa,West Ham Utd
Home,W,2,0,Manchester Utd,West Ham Utd
Away,D,2,2,Bournemouth,West Ham Utd
Home,L,1,2,Crystal Palace,West Ham Utd
Away,L,0,2,Everton,West Ham Utd
Home,D,1,1,Sheffield Utd,West Ham Utd
Home,L,2,3,Newcastle Utd,West Ham Utd
Away,L,0,3,Burnley,West Ham Utd
Home,L,2,3,Tottenham,West Ham Utd
Away,W,1,0,Chelsea,West Ham Utd
Away,L,0,2,Wolves,West Ham Utd
Home,L,1,3,Arsenal,West Ham Utd
Away,W,1,0,Southampton,West Ham Utd
Away,L,1,2,Crystal Palace,West Ham Utd
Home,L,1,2,Leicester City,West Ham Utd
Home,W,4,0,Bournemouth,West Ham Utd
Away,L,0,1,Sheffield Utd,West Ham Utd
Home,D,1,1,Everton,West Ham Utd
Away,L,1,4,Leicester City,West Ham Utd
Home,L,0,2,Liverpool,West Ham Utd
Home,D,3,3,Brighton,West Ham Utd
Away,L,0,2,Manchester City,West Ham Utd
Away,L,2,3,Liverpool,West Ham Utd
Home,W,3,1,Southampton,West Ham Utd
Away,L,0,1,Arsenal,West Ham Utd
Home,L,0,2,Wolves,West Ham Utd
Away,L,0,2,Tottenham,West Ham Utd
Home,W,3,2,Chelsea,West Ham Utd
Away,D,2,2,Newcastle Utd,West Ham Utd
Home,L,0,1,Burnley,West Ham Utd
Away,W,4,0,Norwich City,West Ham Utd
Home,W,3,1,Watford,West Ham Utd
Away,D,1,1,Manchester Utd,West Ham Utd
Home,D,1,1,Aston Villa,West Ham Utd
Away,L,1,3,Tottenham,Aston Villa
Home,L,1,2,Bournemouth,Aston Villa
Home,W,2,0,Everton,Aston Villa
Away,L,0,1,Crystal Palace,Aston Villa
Home,D,0,0,West Ham,Aston Villa
Away,L,2,3,Arsenal,Aston Villa
Home,D,2,2,Burnley,Aston Villa
Away,W,5,1,Norwich City,Aston Villa
Home,W,2,1,Brighton,Aston Villa
Away,L,0,3,Manchester City,Aston Villa
Home,L,1,2,Liverpool,Aston Villa
Away,L,1,2,Wolves,Aston Villa
Home,W,2,0,Newcastle Utd,Aston Villa
Away,D,2,2,Manchester Utd,Aston Villa
Away,L,1,2,Chelsea,Aston Villa
Home,L,1,4,Leicester City,Aston Villa
Away,L,0,2,Sheffield Utd,Aston Villa
Home,L,1,3,Southampton,Aston Villa
Home,W,1,0,Norwich City,Aston Villa
Away,L,0,3,Watford,Aston Villa
Away,W,2,1,Burnley,Aston Villa
Home,L,1,6,Manchester City,Aston Villa
Away,D,1,1,Brighton,Aston Villa
Home,W,2,1,Watford,Aston Villa
Away,L,1,2,Bournemouth,Aston Villa
Home,L,2,3,Tottenham,Aston Villa
Away,L,0,2,Southampton,Aston Villa
Away,L,0,4,Leicester City,Aston Villa
Home,D,0,0,Sheffield Utd,Aston Villa
Home,L,1,2,Chelsea,Aston Villa
Away,D,1,1,Newcastle Utd,Aston Villa
Home,L,0,1,Wolves,Aston Villa
Away,L,0,2,Liverpool,Aston Villa
Home,L,0,3,Manchester Utd,Aston Villa
Home,W,2,0,Crystal Palace,Aston Villa
Away,D,1,1,Everton,Aston Villa
Home,W,1,0,Arsenal,Aston Villa
Away,D,1,1,West Ham,Aston Villa
Home,D,1,1,Sheffield Utd,Bournemouth
Away,W,2,1,Aston Villa,Bournemouth
Home,L,1,3,Manchester City,Bournemouth
Away,L,1,3,Leicester City,Bournemouth
Home,W,3,1,Everton,Bournemouth
Away,W,3,1,Southampton,Bournemouth
Home,D,2,2,West Ham,Bournemouth
Away,L,0,1,Arsenal,Bournemouth
Home,D,0,0,Norwich City,Bournemouth
Away,D,0,0,Watford,Bournemouth
Home,W,1,0,Manchester Utd,Bournemouth
Away,L,1,2,Newcastle Utd,Bournemouth
Home,L,1,2,Wolves,Bournemouth
Away,L,2,3,Tottenham,Bournemouth
Away,L,0,1,Crystal Palace,Bournemouth
Home,L,0,3,Liverpool,Bournemouth
Away,W,1,0,Chelsea,Bournemouth
Home,L,0,1,Burnley,Bournemouth
Home,D,1,1,Arsenal,Bournemouth
Away,L,0,2,Brighton,Bournemouth
Away,L,0,4,West Ham,Bournemouth
Home,L,0,3,Watford,Bournemouth
Away,L,0,1,Norwich City,Bournemouth
Home,W,3,1,Brighton,Bournemouth
Home,W,2,1,Aston Villa,Bournemouth
Away,L,1,2,Sheffield Utd,Bournemouth
Away,L,0,3,Burnley,Bournemouth
Home,D,2,2,Chelsea,Bournemouth
Away,L,1,2,Liverpool,Bournemouth
Home,L,0,2,Crystal Palace,Bournemouth
Away,L,0,1,Wolves,Bournemouth
Home,L,1,4,Newcastle Utd,Bournemouth
Away,L,2,5,Manchester Utd,Bournemouth
Home,D,0,0,Tottenham,Bournemouth
Home,W,4,1,Leicester City,Bournemouth
Away,L,1,2,Manchester City,Bournemouth
Home,L,0,2,Southampton,Bournemouth
Away,W,3,1,Everton,Bournemouth
Home,L,0,3,Brighton,Watford
Away,L,0,1,Everton,Watford
Home,L,1,3,West Ham,Watford
Away,D,1,1,Newcastle Utd,Watford
Home,D,2,2,Arsenal,Watford
Away,L,0,8,Manchester City,Watford
Away,L,0,2,Wolves,Watford
Home,D,0,0,Sheffield Utd,Watford
Away,D,1,1,Tottenham,Watford
Home,D,0,0,Bournemouth,Watford
Home,L,1,2,Chelsea,Watford
Away,W,2,0,Norwich City,Watford
Home,L,0,3,Burnley,Watford
Away,L,1,2,Southampton,Watford
Away,L,0,2,Leicester City,Watford
Home,D,0,0,Crystal Palace,Watford
Away,L,0,2,Liverpool,Watford
Home,W,2,0,Manchester Utd,Watford
Away,D,1,1,Sheffield Utd,Watford
Home,W,3,0,Aston Villa,Watford
Home,W,2,1,Wolves,Watford
Away,W,3,0,Bournemouth,Watford
Home,D,0,0,Tottenham,Watford
Away,L,1,2,Aston Villa,Watford
Home,L,2,3,Everton,Watford
Away,D,1,1,Brighton,Watford
Away,L,0,3,Manchester Utd,Watford
Home,W,3,0,Liverpool,Watford
Away,L,0,1,Crystal Palace,Watford
Home,D,1,1,Leicester City,Watford
Away,L,0,1,Burnley,Watford
Home,L,1,3,Southampton,Watford
Away,L,0,3,Chelsea,Watford
Home,W,2,1,Norwich City,Watford
Home,W,2,1,Newcastle Utd,Watford
Away,L,1,3,West Ham,Watford
Home,L,0,4,Manchester City,Watford
Away,L,2,3,Arsenal,Watford
Away,L,1,4,Liverpool,Norwich City
Home,W,3,1,Newcastle Utd,Norwich City
Home,L,2,3,Chelsea,Norwich City
Away,L,0,2,West Ham,Norwich City
Home,W,3,2,Manchester City,Norwich City
Away,L,0,2,Burnley,Norwich City
Away,L,0,2,Crystal Palace,Norwich City
Home,L,1,5,Aston Villa,Norwich City
Away,D,0,0,Bournemouth,Norwich City
Home,L,1,3,Manchester Utd,Norwich City
Away,L,0,2,Brighton,Norwich City
Home,L,0,2,Watford,Norwich City
Away,W,2,0,Everton,Norwich City
Home,D,2,2,Arsenal,Norwich City
Away,L,1,2,Southampton,Norwich City
Home,L,1,2,Sheffield Utd,Norwich City
Away,D,1,1,Leicester City,Norwich City
Home,L,1,2,Wolves,Norwich City
Away,L,0,1,Aston Villa,Norwich City
Home,D,2,2,Tottenham,Norwich City
Home,D,1,1,Crystal Palace,Norwich City
Away,L,0,4,Manchester Utd,Norwich City
Home,W,1,0,Bournemouth,Norwich City
Away,L,1,2,Tottenham,Norwich City
Away,D,0,0,Newcastle Utd,Norwich City
Home,L,0,1,Liverpool,Norwich City
Away,L,0,3,Wolves,Norwich City
Home,W,1,0,Leicester City,Norwich City
Away,L,0,1,Sheffield Utd,Norwich City
Home,L,0,3,Southampton,Norwich City
Home,L,0,1,Everton,Norwich City
Away,L,0,4,Arsenal,Norwich City
Home,L,0,1,Brighton,Norwich City
Away,L,1,2,Watford,Norwich City
Home,L,0,4,West Ham,Norwich City
Away,L,0,1,Chelsea,Norwich City
Home,L,0,2,Burnley,Norwich City
Away,L,0,5,Manchester City,Norwich City
